Dataset,Subset,OperatingPoint,N_genuine,N_spoof,BPCER,APCER,ACER
PartialSpoof,full,EER,7355,63882,0.38,0.76,0.57
PartialSpoof,full,FAR1,7355,63882,0.33,0.82,0.57
LlamaPS,full,EER,10573,130034,68.70,2.43,35.56
LlamaPS,full,FAR1,10573,130034,62.02,3.33,32.67
LlamaPS,partial_only,EER,10573,96576,68.70,0.18,34.44
LlamaPS,partial_only,FAR1,10573,96576,62.02,0.34,31.18
HQ-MPSD,full,EER,6101,15487,29.98,0.13,15.05
HQ-MPSD,full,FAR1,6101,15487,25.36,0.13,12.74
HQ-MPSD,partial_only,EER,6101,9384,29.98,0.07,15.03
HQ-MPSD,partial_only,FAR1,6101,9384,25.36,0.12,12.74
