metric,subset,unit,pair,value
utt_eer,full,BAM,,15.81
utt_eer,partial_only,BAM,,12.26
utt_eer,fully_only,BAM,,27.04
utt_eer,full,CFPRF,,29.59
utt_eer,partial_only,CFPRF,,27.65
utt_eer,fully_only,CFPRF,,36.66
utt_eer,full,MRM,,28.31
utt_eer,partial_only,MRM,,24.76
utt_eer,fully_only,MRM,,37.38
ensemble_fixed_BPCER,full,MAJORITY,,68.7
ensemble_fixed_APCER,full,MAJORITY,,2.4
ensemble_fixed_ACER,full,MAJORITY,,35.6
ensemble_recal_BPCER,full,MAJORITY,,17.7
ensemble_recal_APCER,full,MAJORITY,,18.4
ensemble_recal_ACER,full,MAJORITY,,18.1
ensemble_fixed_BPCER,partial_only,MAJORITY,,68.7
ensemble_fixed_APCER,partial_only,MAJORITY,,0.2
ensemble_fixed_ACER,partial_only,MAJORITY,,34.4
ensemble_recal_BPCER,partial_only,MAJORITY,,17.7
ensemble_recal_APCER,partial_only,MAJORITY,,9.7
ensemble_recal_ACER,partial_only,MAJORITY,,13.7
best_single_EER,full,,,15.81
softvote_EER,full,,,16.29
OR_ACER,full,,,46.9
AND_ACER,full,,,14.3
best_single_EER,partial_only,,,12.26
softvote_EER,partial_only,,,13.55
OR_ACER,partial_only,,,46.8
AND_ACER,partial_only,,,10.2
jaccard_err,full,,BAM/CFPRF,0.1686
jaccard_err,partial_only,,BAM/CFPRF,0.1307
jaccard_err,full,,BAM/MRM,0.1057
jaccard_err,partial_only,,BAM/MRM,0.1418
jaccard_err,full,,CFPRF/MRM,0.4885
jaccard_err,partial_only,,CFPRF/MRM,0.6545
